10.690s snapd.seeded.service
  301ms snap-gnome\x2d42\x2d2204-176.mount
  296ms snap-gnome\x2d42\x2d2204-202.mount
  287ms systemd-logind.service
  279ms snap-gnome\x2d46\x2d2404-77.mount
  279ms keyboard-setup.service
  273ms snap-gnome\x2d46\x2d2404-90.mount
  265ms lm-sensors.service
  260ms snap-gtk\x2dcommon\x2dthemes-1535.mount
  253ms snap-lolcat-1.mount
  246ms cups.service
  241ms snap-mesa\x2d2404-143.mount
  238ms systemd-journald.service
  234ms systemd-tmpfiles-clean.service
  233ms snap-mesa\x2d2404-495.mount
  220ms snap-obsidian-45.mount
  217ms snap-obsidian-47.mount
  215ms netctl.service
  208ms snap-onefetch-3678.mount
  204ms qemu-kvm.service
  199ms snap-onefetch-3749.mount
  193ms systemd-tmpfiles-setup.service
  188ms systemd-modules-load.service
  179ms snap-postman-313.mount
  179ms lvm2-monitor.service
  174ms snap-postman-315.mount
  168ms snap-snapd-23771.mount
  165ms systemd-fsck@dev-disk-by\x2duuid-8C88\x2d7F52.service
  164ms wpa_supplicant.service
  160ms snap-snapd-24505.mount
  157ms dev-hugepages.mount
  156ms ufw.service
  156ms dev-mqueue.mount
  153ms sys-kernel-debug.mount
  151ms sys-kernel-tracing.mount
  148ms snap-spotify-84.mount
  145ms snap-spotify-86.mount
  144ms kerneloops.service
  143ms grub-initrd-fallback.service
  139ms kmod-static-nodes.service
  136ms snap-telegram\x2ddesktop-6574.mount
  134ms systemd-remount-fs.service
  129ms sysstat.service
  129ms modprobe@configfs.service
  127ms modprobe@drm.service
  127ms snap-telegram\x2ddesktop-6597.mount
  121ms snap-thunderbird-706.mount
  120ms modprobe@fuse.service
  120ms ifplugd.service
  119ms user-runtime-dir@1000.service
  118ms console-setup.service
  117ms plymouth-read-write.service
  115ms snap-thunderbird-721.mount
  109ms systemd-update-utmp.service
  109ms systemd-tmpfiles-setup-dev-early.service
  108ms snap-webkitgtk\x2d6\x2dgnome\x2d2204-31.mount
  104ms sddm.service
  104ms rtkit-daemon.service
  101ms boot-efi.mount
  101ms plymouth-quit.service
   96ms snap-webkitgtk\x2d6\x2dgnome\x2d2404-40.mount
   94ms systemd-user-sessions.service
   91ms snap-webkitgtk\x2d6\x2dgnome\x2d2404-44.mount
   83ms snap-whatsapp\x2ddesktop\x2dclient-6.mount
   79ms snap-whatsapp\x2ddesktop\x2dclient-7.mount
   75ms tmp.mount
   73ms setvtrgb.service
   69ms systemd-rfkill.service
   66ms var-snap-firefox-common-host\x2dhunspell.mount
   61ms sysstat-collect.service
   59ms plymouth-start.service
   56ms alsa-restore.service
   54ms systemd-update-utmp-runlevel.service
   50ms sys-kernel-config.mount
   46ms systemd-random-seed.service
   37ms systemd-tmpfiles-setup-dev.service
   31ms swapfile.swap
   27ms postgresql.service
   24ms systemd-backlight@backlight:intel_backlight.service
   19ms sys-fs-fuse-connections.mount
   17ms ifupdown-pre.service
   15ms modprobe@loop.service
   14ms modprobe@efi_pstore.service
   12ms motd-news.service
    9ms modprobe@dm_mod.service
    8ms snapd.socket
   42us blk-availability.service
